# plane x_cr = 0.60 | grid 33 x 13, spacing 0.0219 x 0.0158 c_r | 405 of 429 nodes | y [-0.35,0.35] z [-0.03,0.16], bin-averaged from 19982 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
-0.064,0.050,1.089,-0.052,-0.094,-0.198,0.025,-5.158
-0.042,0.050,1.089,-0.038,-0.068,-0.193,0.058,-2.540
-0.021,0.050,1.089,-0.021,-0.047,-0.190,0.104,-0.974
0.000,0.050,1.089,0.000,-0.038,-0.189,0.000,-0.681
0.021,0.050,1.089,0.021,-0.047,-0.190,-0.104,-0.977
0.042,0.050,1.089,0.039,-0.068,-0.193,-0.058,-2.555
0.064,0.050,1.089,0.052,-0.094,-0.198,-0.025,-5.194
0.085,0.050,1.089,0.076,-0.157,-0.219,0.002,-17.044
0.106,0.050,1.094,0.094,-0.281,-0.285,-1.008,-64.935
0.127,0.050,1.120,0.042,-0.520,-0.526,0.320,-238.696
0.148,0.050,1.236,-0.032,-0.691,-1.198,29.399,-58.873
0.170,0.050,1.575,-0.118,-0.461,-2.456,70.709,1134.673
0.191,0.050,1.610,-0.158,0.371,-2.860,90.234,2044.722
0.212,0.050,1.334,-0.017,0.728,-1.612,38.760,-159.797
0.233,0.050,1.085,-0.109,0.591,-0.779,38.547,-280.655
0.255,0.050,1.032,-0.251,0.651,-0.562,3.200,-27.733
0.276,0.050,1.005,-0.147,0.611,-0.406,0.024,-31.663
0.297,0.050,0.984,-0.077,0.546,-0.273,0.035,-18.692
0.318,0.050,0.973,-0.043,0.496,-0.196,0.047,-10.694
0.339,0.050,0.967,-0.022,0.454,-0.142,0.117,-6.226
-0.339,0.065,0.977,0.039,0.415,-0.129,-0.052,-3.583
-0.318,0.065,0.987,0.074,0.472,-0.203,0.019,-8.120
-0.297,0.065,1.000,0.112,0.509,-0.272,-0.057,-13.200
-0.276,0.065,1.021,0.180,0.553,-0.381,0.001,-22.330
-0.255,0.065,1.054,0.276,0.589,-0.535,0.049,-35.307
-0.233,0.065,1.112,0.403,0.629,-0.802,-3.212,-65.522
-0.212,0.065,1.279,0.485,0.584,-1.360,-30.725,36.285
-0.191,0.065,1.511,0.596,0.255,-1.961,-41.126,189.967
-0.170,0.065,1.445,0.529,-0.314,-1.727,-41.078,157.313
-0.148,0.065,1.229,0.329,-0.551,-0.969,-9.973,-208.013
-0.127,0.065,1.157,0.109,-0.422,-0.523,1.926,-167.131
-0.106,0.065,1.115,0.001,-0.256,-0.310,0.124,-41.708
-0.085,0.065,1.100,-0.021,-0.158,-0.237,0.001,-12.891
-0.064,0.065,1.094,-0.022,-0.099,-0.209,0.043,-4.100
-0.042,0.065,1.092,-0.018,-0.072,-0.200,0.068,-1.808
-0.021,0.065,1.091,-0.011,-0.052,-0.195,0.030,-0.590
0.000,0.065,1.090,0.000,-0.044,-0.192,0.000,-0.388
0.021,0.065,1.091,0.011,-0.052,-0.195,-0.030,-0.594
0.042,0.065,1.092,0.018,-0.072,-0.200,-0.068,-1.820
0.064,0.065,1.094,0.022,-0.099,-0.209,-0.043,-4.126
0.085,0.065,1.100,0.021,-0.158,-0.237,0.000,-12.946
