# plane x_cr = 0.30 | grid 33 x 13, y [-0.2,0.2] z [-0.02,0.1], bin-averaged from 6573 vertices | fields %.3f | nondimensional
y_cr,z_cr,u_U,v_U,w_U,cp,omega_x,q_star
0.109,0.040,1.188,-0.548,0.615,-1.206,23.649,-62.218
0.121,0.040,1.106,-0.363,0.665,-0.793,0.756,-268.875
0.133,0.040,1.063,-0.244,0.623,-0.581,-0.254,-139.601
0.145,0.040,1.029,-0.156,0.570,-0.412,0.134,-64.594
0.158,0.040,1.007,-0.100,0.521,-0.298,-0.145,-34.305
0.170,0.040,0.996,-0.071,0.484,-0.231,0.124,-20.527
0.182,0.040,0.987,-0.048,0.450,-0.179,0.037,-12.502
0.194,0.040,0.982,-0.037,0.427,-0.148,0.023,-7.997
-0.194,0.049,0.992,0.050,0.405,-0.151,0.005,-5.940
-0.182,0.049,1.001,0.071,0.432,-0.194,-0.032,-10.309
-0.170,0.049,1.009,0.092,0.464,-0.241,-0.119,-17.235
-0.158,0.049,1.021,0.124,0.490,-0.300,0.129,-27.839
-0.145,0.049,1.045,0.180,0.523,-0.400,-0.179,-50.490
-0.133,0.049,1.079,0.263,0.548,-0.537,-0.203,-97.639
-0.121,0.049,1.119,0.361,0.552,-0.689,0.341,-192.655
-0.109,0.049,1.188,0.528,0.491,-0.936,-2.767,-322.114
-0.097,0.049,1.264,0.663,0.295,-1.157,-11.669,-323.301
-0.085,0.049,1.303,0.643,-0.003,-1.147,-10.943,-387.926
-0.073,0.049,1.282,0.473,-0.219,-0.906,-2.520,-436.575
-0.061,0.049,1.232,0.260,-0.253,-0.642,1.708,-274.949
-0.048,0.049,1.192,0.113,-0.202,-0.473,0.877,-102.238
-0.036,0.049,1.173,0.055,-0.153,-0.403,0.099,-42.543
-0.024,0.049,1.161,0.021,-0.107,-0.360,-0.029,-14.562
-0.012,0.049,1.155,0.006,-0.078,-0.341,0.068,-3.571
0.000,0.049,1.153,0.000,-0.066,-0.335,0.000,-1.490
0.012,0.049,1.155,-0.006,-0.078,-0.340,-0.069,-3.522
0.024,0.049,1.161,-0.021,-0.107,-0.360,0.028,-14.420
0.036,0.049,1.173,-0.055,-0.153,-0.402,-0.089,-42.193
0.048,0.049,1.191,-0.112,-0.202,-0.471,-0.818,-101.872
0.061,0.049,1.231,-0.259,-0.254,-0.639,-1.585,-276.328
