# plane y_D = 0 | grid 33 x 13, spacing 0.25 D | 419 of 429 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp
-1.000,1.250,0.976,-0.002,0.080,0.061
-0.750,1.250,0.991,-0.003,0.101,0.029
-0.500,1.250,1.017,-0.003,0.111,-0.025
-0.250,1.250,1.044,-0.003,0.104,-0.080
0.000,1.250,1.062,-0.002,0.083,-0.114
0.250,1.250,1.069,-0.002,0.061,-0.125
0.500,1.250,1.070,-0.002,0.042,-0.126
0.750,1.250,1.070,-0.001,0.025,-0.123
1.000,1.250,1.068,-0.001,0.009,-0.119
1.250,1.250,1.064,-0.000,-0.007,-0.110
1.500,1.250,1.057,0.000,-0.021,-0.096
1.750,1.250,1.047,0.000,-0.031,-0.078
2.000,1.250,1.037,0.001,-0.037,-0.058
2.250,1.250,1.028,0.001,-0.040,-0.040
2.500,1.250,1.020,0.001,-0.039,-0.024
2.750,1.250,1.014,0.001,-0.036,-0.012
3.000,1.250,1.010,0.001,-0.033,-0.003
3.250,1.250,1.007,0.000,-0.029,0.003
3.500,1.250,1.005,0.000,-0.025,0.006
3.750,1.250,1.003,0.000,-0.021,0.008
4.000,1.250,1.003,0.000,-0.018,0.009
4.250,1.250,1.002,0.000,-0.015,0.009
4.500,1.250,1.002,0.000,-0.013,0.009
4.750,1.250,1.002,0.000,-0.011,0.008
5.000,1.250,1.002,0.000,-0.009,0.007
5.250,1.250,1.002,0.000,-0.008,0.006
5.500,1.250,1.002,-0.000,-0.007,0.005
5.750,1.250,1.002,-0.000,-0.006,0.005
6.000,1.250,1.002,-0.000,-0.005,0.004
-2.000,1.500,0.986,-0.004,0.018,0.047
-1.750,1.500,0.984,-0.003,0.026,0.051
-1.500,1.500,0.981,-0.004,0.035,0.055
-1.250,1.500,0.984,-0.002,0.047,0.047
-1.000,1.500,0.991,-0.001,0.059,0.032
-0.750,1.500,1.002,-0.001,0.069,0.011
-0.500,1.500,1.017,-0.002,0.073,-0.020
-0.250,1.500,1.032,-0.002,0.069,-0.051
0.000,1.500,1.044,-0.001,0.058,-0.074
0.250,1.500,1.051,-0.001,0.045,-0.087
0.500,1.500,1.054,-0.001,0.031,-0.092
0.750,1.500,1.055,-0.001,0.019,-0.093
1.000,1.500,1.054,-0.000,0.007,-0.090
1.250,1.500,1.051,-0.000,-0.004,-0.084
1.500,1.500,1.046,0.000,-0.014,-0.075
1.750,1.500,1.040,0.000,-0.021,-0.063
2.000,1.500,1.034,0.000,-0.026,-0.050
2.250,1.500,1.028,0.000,-0.028,-0.037
2.500,1.500,1.022,0.000,-0.029,-0.025
2.750,1.500,1.017,0.000,-0.027,-0.016
3.000,1.500,1.014,0.000,-0.026,-0.009
3.250,1.500,1.011,0.000,-0.023,-0.004
3.500,1.500,1.009,0.000,-0.021,0.000
3.750,1.500,1.008,0.000,-0.018,0.003
4.000,1.500,1.008,0.000,-0.016,0.004
4.250,1.500,1.007,0.000,-0.014,0.005
4.500,1.500,1.007,0.000,-0.012,0.005
4.750,1.500,1.007,0.000,-0.010,0.005
5.000,1.500,1.007,0.000,-0.009,0.004
5.250,1.500,1.007,0.000,-0.008,0.004
5.500,1.500,1.008,0.000,-0.007,0.004
5.750,1.500,1.008,0.000,-0.006,0.003
6.000,1.500,1.008,0.000,-0.005,0.003
