# plane x_D = 5 | grid 25 x 25, spacing 0.25 D | 625 of 625 nodes | fields %.3f | nondimensional
y_D,z_D,u_U,v_U,w_U,cp,jet_tracer
1.250,1.750,1.117,-0.223,-0.016,0.012,0.003
1.500,1.750,1.124,-0.186,-0.032,0.008,0.001
1.750,1.750,1.129,-0.153,-0.037,0.008,0.000
2.000,1.750,1.131,-0.125,-0.037,0.010,0.000
2.250,1.750,1.133,-0.102,-0.034,0.012,0.000
2.500,1.750,1.133,-0.084,-0.031,0.015,0.000
2.750,1.750,1.133,-0.067,-0.026,0.018,0.000
3.000,1.750,1.132,-0.056,-0.023,0.020,0.000
-3.000,2.000,1.126,0.049,-0.031,0.018,0.000
-2.750,2.000,1.127,0.063,-0.038,0.014,0.000
-2.500,2.000,1.128,0.079,-0.046,0.009,0.000
-2.250,2.000,1.129,0.098,-0.052,0.003,0.000
-2.000,2.000,1.129,0.121,-0.059,-0.003,0.000
-1.750,2.000,1.129,0.152,-0.065,-0.010,0.000
-1.500,2.000,1.127,0.190,-0.066,-0.017,0.002
-1.250,2.000,1.126,0.233,-0.050,-0.022,0.009
-1.000,2.000,1.123,0.268,0.006,-0.022,0.031
-0.750,2.000,1.092,0.277,0.114,-0.007,0.067
-0.500,2.000,1.021,0.241,0.269,0.030,0.092
-0.250,2.000,0.924,0.149,0.444,0.081,0.080
0.000,2.000,0.826,0.002,0.524,0.109,0.054
0.250,2.000,0.923,-0.147,0.444,0.082,0.080
0.500,2.000,1.021,-0.239,0.268,0.031,0.092
0.750,2.000,1.092,-0.276,0.113,-0.006,0.067
1.000,2.000,1.123,-0.267,0.005,-0.021,0.031
1.250,2.000,1.126,-0.232,-0.050,-0.022,0.009
1.500,2.000,1.127,-0.189,-0.066,-0.016,0.002
1.750,2.000,1.129,-0.151,-0.065,-0.009,0.000
2.000,2.000,1.129,-0.121,-0.059,-0.003,0.000
2.250,2.000,1.129,-0.097,-0.052,0.003,0.000
2.500,2.000,1.128,-0.079,-0.046,0.009,0.000
2.750,2.000,1.127,-0.062,-0.038,0.014,0.000
3.000,2.000,1.126,-0.049,-0.031,0.018,0.000
-3.000,2.250,1.121,0.046,-0.042,0.015,0.000
-2.750,2.250,1.123,0.056,-0.049,0.010,0.000
-2.500,2.250,1.126,0.071,-0.059,0.003,0.000
-2.250,2.250,1.128,0.088,-0.070,-0.006,0.000
-2.000,2.250,1.130,0.112,-0.082,-0.016,0.000
-1.750,2.250,1.132,0.142,-0.095,-0.029,0.001
-1.500,2.250,1.136,0.182,-0.103,-0.046,0.004
-1.250,2.250,1.148,0.225,-0.083,-0.065,0.023
-1.000,2.250,1.149,0.255,-0.007,-0.081,0.072
-0.750,2.250,1.092,0.255,0.126,-0.079,0.138
-0.500,2.250,0.978,0.220,0.308,-0.051,0.166
-0.250,2.250,0.865,0.136,0.530,-0.003,0.123
0.000,2.250,0.779,0.002,0.644,0.025,0.074
0.250,2.250,0.864,-0.134,0.530,-0.002,0.122
0.500,2.250,0.978,-0.218,0.309,-0.049,0.165
0.750,2.250,1.093,-0.254,0.126,-0.078,0.136
1.000,2.250,1.149,-0.254,-0.008,-0.080,0.071
1.250,2.250,1.147,-0.224,-0.084,-0.065,0.023
1.500,2.250,1.136,-0.181,-0.103,-0.045,0.004
1.750,2.250,1.132,-0.142,-0.095,-0.029,0.001
