# plane y_D = 0 | grid 29 x 25 (spacing 0.5 D in x_D, 0.25 D in z_D) | 725 of 725 nodes | fields %.3f | nondimensional
x_D,z_D,u_U,v_U,w_U,cp,jet_tracer
1.000,2.500,1.134,-0.001,1.328,-0.466,0.672
1.500,2.500,-0.046,-0.002,0.354,-0.497,0.211
2.000,2.500,-0.011,-0.003,0.698,-0.554,0.193
2.500,2.500,0.048,-0.002,0.874,-0.608,0.182
3.000,2.500,0.168,-0.000,0.940,-0.551,0.172
3.500,2.500,0.326,0.001,0.940,-0.419,0.157
4.000,2.500,0.482,0.001,0.896,-0.275,0.137
4.500,2.500,0.616,0.001,0.822,-0.158,0.116
5.000,2.500,0.723,0.001,0.738,-0.070,0.097
5.500,2.500,0.806,0.001,0.656,-0.007,0.080
6.000,2.500,0.868,0.001,0.579,0.036,0.067
6.500,2.500,0.916,0.001,0.510,0.062,0.056
7.000,2.500,0.953,0.001,0.450,0.077,0.048
7.500,2.500,0.981,0.001,0.399,0.084,0.042
8.000,2.500,1.004,0.001,0.355,0.087,0.037
8.500,2.500,1.022,0.001,0.318,0.087,0.033
9.000,2.500,1.036,0.001,0.285,0.085,0.029
9.500,2.500,1.048,0.001,0.258,0.081,0.027
10.000,2.500,1.058,0.001,0.234,0.077,0.024
10.500,2.500,1.067,0.001,0.213,0.072,0.022
11.000,2.500,1.074,0.001,0.194,0.067,0.020
11.500,2.500,1.080,0.001,0.178,0.062,0.019
12.000,2.500,1.086,0.001,0.164,0.057,0.018
-2.000,2.750,0.989,0.000,0.040,0.300,0.000
-1.500,2.750,0.976,0.000,0.053,0.326,0.000
-1.000,2.750,0.952,0.000,0.075,0.371,0.000
-0.500,2.750,0.912,0.000,0.116,0.439,-0.000
0.000,2.750,0.845,0.000,0.199,0.533,0.000
0.500,2.750,0.731,0.001,0.387,0.627,0.007
1.000,2.750,1.821,0.000,1.888,0.118,0.783
1.500,2.750,0.229,-0.001,0.339,-0.371,0.330
2.000,2.750,0.026,-0.003,0.511,-0.371,0.199
2.500,2.750,0.063,-0.003,0.753,-0.472,0.191
3.000,2.750,0.140,-0.002,0.878,-0.518,0.186
3.500,2.750,0.267,-0.000,0.920,-0.461,0.176
4.000,2.750,0.413,0.001,0.910,-0.354,0.160
4.500,2.750,0.549,0.001,0.868,-0.244,0.141
5.000,2.750,0.663,0.001,0.805,-0.154,0.121
5.500,2.750,0.754,0.001,0.734,-0.086,0.103
6.000,2.750,0.825,0.001,0.663,-0.034,0.087
6.500,2.750,0.881,0.001,0.597,0.004,0.074
7.000,2.750,0.924,0.001,0.536,0.029,0.063
7.500,2.750,0.958,0.001,0.482,0.046,0.055
8.000,2.750,0.985,0.001,0.434,0.057,0.048
8.500,2.750,1.006,0.001,0.391,0.063,0.043
9.000,2.750,1.023,0.001,0.354,0.066,0.038
9.500,2.750,1.038,0.001,0.322,0.066,0.034
10.000,2.750,1.050,0.001,0.294,0.065,0.031
10.500,2.750,1.060,0.001,0.269,0.063,0.028
11.000,2.750,1.068,0.001,0.246,0.060,0.026
11.500,2.750,1.076,0.001,0.227,0.057,0.024
12.000,2.750,1.082,0.001,0.209,0.053,0.023
-2.000,3.000,0.991,0.000,0.039,0.290,-0.000
-1.500,3.000,0.980,0.000,0.051,0.311,-0.000
-1.000,3.000,0.962,0.000,0.071,0.344,-0.000
-0.500,3.000,0.933,0.000,0.107,0.393,0.000
0.000,3.000,0.890,0.000,0.170,0.457,0.000
0.500,3.000,0.821,0.001,0.291,0.524,0.000
1.000,3.000,1.168,0.001,0.974,0.483,0.276
1.500,3.000,1.360,-0.000,1.081,-0.177,0.657
2.000,3.000,0.165,-0.002,0.347,-0.227,0.251
2.500,3.000,0.104,-0.003,0.575,-0.294,0.197
3.000,3.000,0.145,-0.003,0.766,-0.402,0.195
3.500,3.000,0.231,-0.002,0.865,-0.441,0.189
4.000,3.000,0.353,-0.001,0.894,-0.395,0.178
4.500,3.000,0.483,0.000,0.881,-0.311,0.163
5.000,3.000,0.601,0.001,0.842,-0.226,0.145
5.500,3.000,0.699,0.001,0.788,-0.156,0.126
6.000,3.000,0.777,0.001,0.728,-0.100,0.109
6.500,3.000,0.840,0.001,0.667,-0.057,0.094
7.000,3.000,0.890,0.001,0.610,-0.024,0.081
7.500,3.000,0.929,0.001,0.556,0.001,0.071
8.000,3.000,0.961,0.001,0.507,0.019,0.062
8.500,3.000,0.986,0.001,0.463,0.031,0.055
9.000,3.000,1.006,0.001,0.423,0.039,0.049
9.500,3.000,1.023,0.001,0.387,0.045,0.044
10.000,3.000,1.037,0.001,0.355,0.047,0.040
10.500,3.000,1.049,0.001,0.327,0.049,0.037
11.000,3.000,1.059,0.001,0.301,0.049,0.034
11.500,3.000,1.068,0.001,0.278,0.048,0.031
12.000,3.000,1.075,0.001,0.257,0.046,0.029
-2.000,3.250,0.992,0.000,0.037,0.280,-0.000
-1.500,3.250,0.984,0.000,0.049,0.297,-0.000
-1.000,3.250,0.971,0.000,0.067,0.321,-0.000
-0.500,3.250,0.951,0.000,0.097,0.356,-0.000
0.000,3.250,0.922,0.000,0.146,0.398,-0.000
0.500,3.250,0.883,0.000,0.230,0.441,0.000
1.000,3.250,0.839,0.001,0.393,0.456,0.010
1.500,3.250,1.738,0.001,1.308,0.215,0.611
2.000,3.250,0.985,-0.001,0.679,-0.116,0.512
2.500,3.250,0.201,-0.002,0.381,-0.151,0.225
3.000,3.250,0.180,-0.003,0.592,-0.234,0.201
3.500,3.250,0.228,-0.003,0.755,-0.334,0.199
4.000,3.250,0.316,-0.002,0.839,-0.372,0.192
4.500,3.250,0.426,-0.001,0.863,-0.343,0.181
5.000,3.250,0.539,-0.000,0.852,-0.281,0.166
5.500,3.250,0.641,0.000,0.818,-0.216,0.149
6.000,3.250,0.726,0.000,0.773,-0.160,0.132
6.500,3.250,0.795,0.001,0.721,-0.114,0.116
7.000,3.250,0.851,0.001,0.669,-0.077,0.102
7.500,3.250,0.896,0.001,0.618,-0.047,0.090
8.000,3.250,0.932,0.001,0.571,-0.024,0.079
8.500,3.250,0.962,0.001,0.527,-0.006,0.071
9.000,3.250,0.986,0.001,0.486,0.007,0.063
9.500,3.250,1.006,0.001,0.449,0.017,0.057
10.000,3.250,1.022,0.001,0.415,0.024,0.052
10.500,3.250,1.036,0.001,0.384,0.029,0.047
11.000,3.250,1.048,0.001,0.356,0.032,0.044
11.500,3.250,1.058,0.001,0.330,0.034,0.040
12.000,3.250,1.066,0.001,0.307,0.034,0.037
-2.000,3.500,0.994,0.000,0.035,0.271,-0.000
-1.500,3.500,0.988,0.000,0.046,0.283,-0.000
-1.000,3.500,0.978,0.000,0.062,0.301,-0.000
-0.500,3.500,0.965,0.000,0.087,0.325,-0.000
0.000,3.500,0.947,0.000,0.126,0.352,0.000
0.500,3.500,0.924,0.000,0.186,0.378,0.000
1.000,3.500,0.896,0.001,0.279,0.389,0.000
1.500,3.500,1.095,0.001,0.617,0.343,0.136
2.000,3.500,1.635,0.000,0.999,0.076,0.580
2.500,3.500,0.829,-0.001,0.516,-0.051,0.426
3.000,3.500,0.266,-0.002,0.393,-0.095,0.223
3.500,3.500,0.255,-0.003,0.579,-0.175,0.204
4.000,3.500,0.309,-0.003,0.726,-0.264,0.201
4.500,3.500,0.390,-0.002,0.803,-0.308,0.194
5.000,3.500,0.487,-0.001,0.829,-0.299,0.182
5.500,3.500,0.584,-0.001,0.822,-0.259,0.169
6.000,3.500,0.672,-0.000,0.796,-0.210,0.153
6.500,3.500,0.747,0.000,0.759,-0.165,0.138
7.000,3.500,0.809,0.000,0.715,-0.126,0.124
7.500,3.500,0.859,0.000,0.669,-0.094,0.111
8.000,3.500,0.900,0.000,0.625,-0.068,0.099
8.500,3.500,0.934,0.001,0.582,-0.046,0.089
9.000,3.500,0.962,0.001,0.542,-0.028,0.080
9.500,3.500,0.985,0.001,0.505,-0.014,0.073
10.000,3.500,1.004,0.001,0.470,-0.004,0.066
10.500,3.500,1.020,0.001,0.438,0.005,0.061
11.000,3.500,1.034,0.001,0.409,0.011,0.056
11.500,3.500,1.046,0.001,0.382,0.016,0.052
12.000,3.500,1.056,0.001,0.356,0.019,0.048
-2.000,3.750,0.996,0.000,0.033,0.263,-0.000
-1.500,3.750,0.991,0.000,0.043,0.271,-0.000
-1.000,3.750,0.985,0.000,0.057,0.284,-0.000
-0.500,3.750,0.975,0.000,0.078,0.299,-0.000
0.000,3.750,0.964,0.000,0.108,0.316,0.000
0.500,3.750,0.952,0.000,0.152,0.331,-0.000
1.000,3.750,0.938,0.000,0.214,0.337,0.000
1.500,3.750,0.927,0.001,0.307,0.333,0.006
2.000,3.750,1.336,0.001,0.702,0.257,0.259
2.500,3.750,1.526,0.000,0.788,0.053,0.527
3.000,3.750,0.821,-0.000,0.453,-0.007,0.389
3.500,3.750,0.345,-0.002,0.384,-0.047,0.228
4.000,3.750,0.328,-0.003,0.545,-0.114,0.207
4.500,3.750,0.382,-0.003,0.680,-0.194,0.202
5.000,3.750,0.455,-0.003,0.758,-0.244,0.195
5.500,3.750,0.538,-0.002,0.789,-0.256,0.184
6.000,3.750,0.621,-0.001,0.790,-0.237,0.172
6.500,3.750,0.697,-0.001,0.773,-0.204,0.158
7.000,3.750,0.763,-0.000,0.744,-0.169,0.145
7.500,3.750,0.818,-0.000,0.708,-0.137,0.132
8.000,3.750,0.864,0.000,0.669,-0.110,0.119
8.500,3.750,0.902,0.000,0.629,-0.086,0.108
9.000,3.750,0.934,0.000,0.591,-0.066,0.099
9.500,3.750,0.960,0.000,0.555,-0.048,0.090
10.000,3.750,0.982,0.000,0.520,-0.034,0.083
10.500,3.750,1.001,0.000,0.488,-0.023,0.076
11.000,3.750,1.017,0.001,0.458,-0.013,0.070
11.500,3.750,1.031,0.001,0.430,-0.006,0.065
12.000,3.750,1.042,0.001,0.403,0.001,0.061
-2.000,4.000,0.997,0.000,0.031,0.255,0.000
-1.500,4.000,0.994,0.000,0.040,0.260,0.000
