# samples.csv | importance-weighted volumetric sample | jet_r2_re100
# field grad_vel_mag, alpha 1, N 800 of 436390 cells, seed 42 | p_i ~ Volume*grad_vel_mag^alpha, no replacement
# vol_weight: per-sample volume share, self-normalized so sum(vol_weight) = domain volume; sum(f*vol_weight) estimates the volume integral of f | fields %.3f, vol_weight %.2e | nondimensional
x_D,y_D,z_D,u_U,v_U,w_U,cp,jet_tracer,vol_weight
1.688,-0.688,1.938,0.459,-0.060,-0.041,-0.916,0.431,1.64e-01
1.688,0.562,2.313,0.263,0.174,-0.034,-0.724,0.348,2.27e-01
1.750,3.250,0.070,0.176,-0.022,-0.000,0.002,0.000,2.16e-01
1.750,3.750,0.750,1.116,-0.015,0.010,0.023,-0.000,1.17e+00
1.750,4.750,0.750,1.104,-0.003,0.015,0.041,-0.000,1.15e+00
1.750,4.750,0.300,0.714,-0.006,0.004,0.040,0.000,3.33e-01
1.813,-2.188,0.563,1.094,0.085,-0.005,-0.088,0.000,6.71e-01
1.813,-0.562,3.563,1.096,-0.297,0.323,0.171,0.068,2.90e-01
1.813,-0.312,2.313,-0.038,-0.134,0.285,-0.727,0.272,3.40e-01
1.813,-0.188,3.063,0.783,-0.086,0.585,-0.198,0.491,8.50e-02
1.813,0.188,1.813,-0.050,0.014,0.708,-0.936,0.258,2.29e-01
1.813,0.188,3.438,1.680,0.104,1.064,0.151,0.553,3.29e-01
1.813,0.688,2.563,0.935,0.175,0.360,-0.559,0.512,1.10e-01
1.813,1.188,3.438,1.084,0.222,0.022,0.042,0.000,3.49e+00
1.938,-1.188,0.175,0.386,0.220,0.020,-0.167,0.000,2.01e-01
1.938,-0.562,3.563,1.217,-0.307,0.409,0.130,0.138,2.10e-01
1.938,-0.312,2.938,0.288,-0.190,0.232,-0.297,0.310,1.87e-01
1.938,-0.188,1.813,-0.020,0.002,0.736,-0.901,0.261,2.25e-01
1.938,0.562,3.438,1.428,0.308,0.584,0.057,0.290,1.89e-01
2.063,-2.688,2.688,1.122,-0.028,-0.041,0.006,-0.000,9.76e+00
2.063,-0.812,1.563,1.056,0.191,0.115,-0.821,0.369,2.01e-01
2.063,0.062,0.688,0.332,-0.097,0.377,-0.031,0.030,3.13e-01
2.063,1.562,0.313,0.751,-0.207,0.018,-0.130,0.000,2.54e-01
2.188,0.188,2.813,0.061,0.130,0.443,-0.388,0.215,4.60e-01
2.188,0.188,3.813,1.396,0.112,0.687,0.213,0.283,1.92e-01
2.188,0.438,2.688,0.143,0.198,0.056,-0.548,0.269,1.01e+00
2.188,0.688,0.688,1.114,-0.454,0.210,-0.229,0.021,7.35e-01
2.188,2.562,0.313,0.724,-0.101,-0.001,-0.038,0.000,2.94e-01
2.250,-4.750,0.300,0.689,0.007,0.003,0.032,0.000,3.37e-01
2.250,-4.750,0.750,1.098,0.004,0.012,0.033,0.000,1.08e+00
2.250,-3.750,0.300,0.703,0.039,0.002,0.017,0.000,3.32e-01
2.250,3.250,0.300,0.710,-0.061,0.001,0.002,0.000,3.24e-01
2.250,4.250,0.300,0.693,-0.022,0.003,0.028,0.000,3.35e-01
2.250,4.750,5.250,1.056,0.004,-0.004,0.104,0.000,3.78e+01
2.313,-2.438,0.175,0.414,0.103,0.000,-0.041,0.000,2.35e-01
2.313,-2.438,0.438,0.915,0.101,0.001,-0.044,0.000,4.01e-01
2.313,-0.438,3.313,1.109,-0.178,0.558,-0.164,0.520,1.11e-01
2.313,0.438,0.688,0.913,-0.412,0.343,-0.112,0.028,3.83e-01
2.313,0.688,1.938,0.544,-0.093,-0.014,-0.764,0.416,1.82e-01
2.313,1.562,0.175,0.371,-0.160,0.010,-0.096,0.000,2.25e-01
2.375,-2.875,0.375,0.819,0.081,-0.001,-0.014,0.000,3.72e-01
2.438,-0.688,1.688,0.774,0.216,0.104,-0.690,0.381,2.07e-01
2.438,0.562,3.438,1.465,0.204,0.644,-0.134,0.523,2.97e-01
2.438,1.688,0.175,0.366,-0.146,0.008,-0.078,0.000,2.32e-01
2.563,-1.938,0.563,1.055,0.140,0.012,-0.067,0.000,5.73e-01
2.563,-0.438,3.313,0.640,-0.230,0.256,-0.206,0.376,1.34e-01
2.563,-0.312,1.688,0.315,0.156,0.555,-0.592,0.315,3.25e-01
2.563,-0.312,2.813,0.084,-0.139,0.333,-0.522,0.267,3.89e-01
2.563,-0.312,2.938,0.127,-0.181,0.300,-0.431,0.248,5.88e-01
2.563,-0.312,3.688,1.513,-0.124,0.737,-0.013,0.535,3.15e-01
2.563,0.062,1.063,0.440,-0.082,0.576,-0.008,0.045,4.91e-01
2.563,0.188,3.563,1.056,0.095,0.572,-0.048,0.486,1.16e-01
2.563,2.188,0.175,0.383,-0.114,0.002,-0.045,0.000,2.41e-01
2.563,2.188,0.313,0.682,-0.134,0.005,-0.046,0.000,2.79e-01
2.688,-1.938,0.070,0.135,0.055,0.001,-0.049,0.000,2.48e-01
2.688,-0.938,3.063,1.403,-0.194,0.231,-0.344,0.371,6.60e-01
2.688,-0.812,2.063,0.978,0.136,0.076,-0.608,0.386,2.15e-01
2.688,0.062,2.563,0.081,0.005,0.893,-0.586,0.181,6.20e-01
2.688,0.188,3.063,0.133,0.128,0.482,-0.324,0.219,4.79e-01
2.688,0.562,3.938,1.313,0.252,0.400,0.086,0.189,2.64e-01
2.688,-1.688,0.175,0.339,0.130,0.008,-0.056,0.000,2.45e-01
2.750,-4.750,0.300,0.663,0.008,0.003,0.029,0.000,3.41e-01
2.750,-3.250,0.070,0.159,0.021,-0.000,0.006,0.000,2.36e-01
2.750,-3.250,0.300,0.679,0.066,0.002,0.007,0.000,3.29e-01
2.750,3.750,0.300,0.675,-0.042,0.002,0.017,0.000,3.36e-01
2.750,4.250,0.300,0.667,-0.024,0.003,0.025,0.000,3.39e-01
2.750,4.750,0.300,0.663,-0.008,0.003,0.029,0.000,3.41e-01
2.750,3.250,0.020,0.045,-0.007,-0.000,0.006,0.000,2.36e-01
2.813,-1.312,0.313,0.567,0.186,0.037,-0.049,0.000,2.52e-01
2.813,-0.938,2.688,1.251,-0.064,0.117,-0.485,0.388,2.67e-01
2.813,-0.562,0.438,0.472,0.185,0.108,-0.008,0.002,2.43e-01
2.813,0.188,2.438,0.107,-0.016,0.742,-0.610,0.254,2.54e-01
